Geographic Area Name (NAME),Population Universe (POPUNI),"Estimate, 0 components of social vulnerability (PRED0_E)","Margin of error, 0 components of social vulnerability (PRED0_M)","Percent, 0 components of social vulnerability (PRED0_PE)","Percent margin of error, 0 components of social vulnerability (PRED0_PM)","Estimate, 1-2 components of social vulnerability (PRED12_E)","Margin of error, 1-2 components of social vulnerability (PRED12_M)","Percent, 1-2 components of social vulnerability (PRED12_PE)","Percent margin of error, 1-2 components of social vulnerability (PRED12_PM)","Estimate, 3+ components of social vulnerability (PRED3_E)","Margin of error, 3+ components of social vulnerability (PRED3_M)","Percent, 3+ components of social vulnerability (PRED3_PE)","Percent margin of error, 3+ components of social vulnerability (PRED3_PM)"
"Angelina County, Texas","85,976","21,240","3,497",24.70%,4.07%,"43,047","3,837",50.07%,4.46%,"21,689","3,303",25.23%,3.84%
"Geauga County, Ohio","95,294","39,085","3,495",41.02%,3.67%,"35,215","3,511",36.95%,3.68%,"20,994","2,818",22.03%,2.96%
"Yuba County, California","85,378","27,861","3,493",32.63%,4.09%,"40,936","3,749",47.95%,4.39%,"16,581","2,835",19.42%,3.32%
"St. Clair County, Alabama","94,182","33,162","3,490",35.21%,3.71%,"42,741","3,644",45.38%,3.87%,"18,279","3,104",19.41%,3.30%
"Bullitt County, Kentucky","84,846","36,072","3,488",42.51%,4.11%,"35,454","3,481",41.79%,4.10%,"13,320","2,605",15.70%,3.07%
"Cape Girardeau County, Missouri","80,169","32,465","3,487",40.50%,4.35%,"33,306","3,482",41.54%,4.34%,"14,398","2,683",17.96%,3.35%
"Bowie County, Texas","87,450","26,863","3,480",30.72%,3.98%,"39,754","3,684",45.46%,4.21%,"20,833","3,114",23.82%,3.56%
"Matanuska-Susitna Borough, Alaska","112,995","34,119","3,479",30.20%,3.08%,"59,853","3,744",52.97%,3.31%,"19,023","2,862",16.84%,2.53%
"Ozaukee County, Wisconsin","92,033","43,282","3,474",47.03%,3.77%,"36,297","3,456",39.44%,3.76%,"12,454","2,707",13.53%,2.94%
"Broomfield County, Colorado","76,788","36,964","3,471",48.14%,4.52%,"30,488","3,543",39.70%,4.61%,"9,336","2,562",12.16%,3.34%
"James City County, Virginia","82,254","31,724","3,469",38.57%,4.22%,"36,469","3,613",44.34%,4.39%,"14,061","2,927",17.09%,3.56%
"Cascade County, Montana","83,950","31,336","3,431",37.33%,4.09%,"36,769","3,509",43.80%,4.18%,"15,845","2,651",18.87%,3.16%
"Natrona County, Wyoming","79,307","29,933","3,425",37.74%,4.32%,"35,215","3,465",44.40%,4.37%,"14,159","2,519",17.85%,3.18%
"Lynchburg city, Virginia","70,447","24,759","3,420",35.15%,4.85%,"30,109","3,471",42.74%,4.93%,"15,579","2,680",22.11%,3.80%
"Anderson County, Tennessee","79,840","29,205","3,419",36.58%,4.28%,"32,996","3,486",41.33%,4.37%,"17,639","2,835",22.09%,3.55%
"Putnam County, Tennessee","80,781","27,703","3,419",34.29%,4.23%,"35,970","3,522",44.53%,4.36%,"17,108","2,892",21.18%,3.58%
"Tuscarawas County, Ohio","91,795","33,213","3,410",36.18%,3.71%,"35,286","3,449",38.44%,3.76%,"23,296","2,810",25.38%,3.06%
"Lee County, Mississippi","82,583","30,178","3,405",36.54%,4.12%,"32,825","3,594",39.75%,4.35%,"19,580","3,121",23.71%,3.78%
"Wilson County, North Carolina","78,750","24,524","3,403",31.14%,4.32%,"35,621","3,618",45.23%,4.59%,"18,605","3,018",23.63%,3.83%
"Ashtabula County, Ohio","94,723","33,496","3,392",35.36%,3.58%,"38,887","3,444",41.05%,3.64%,"22,340","2,823",23.58%,2.98%
"Bulloch County, Georgia","78,777","26,098","3,390",33.13%,4.30%,"35,826","3,517",45.48%,4.46%,"16,853","2,815",21.39%,3.57%
"Mercer County, Pennsylvania","104,198","39,161","3,387",37.58%,3.25%,"41,814","3,419",40.13%,3.28%,"23,223","2,811",22.29%,2.70%
"Forrest County, Mississippi","73,643","22,434","3,378",30.46%,4.59%,"33,849","3,573",45.96%,4.85%,"17,360","3,099",23.57%,4.21%
"Polk County, Oregon","88,643","27,182","3,375",30.66%,3.81%,"45,932","3,594",51.82%,4.05%,"15,529","2,798",17.52%,3.16%
"Catoosa County, Georgia","68,670","25,026","3,372",36.44%,4.91%,"30,893","3,390",44.99%,4.94%,"12,751","2,532",18.57%,3.69%
"Caldwell County, North Carolina","80,137","26,207","3,372",32.70%,4.21%,"36,729","3,520",45.83%,4.39%,"17,201","2,889",21.46%,3.61%
"Jackson County, Georgia","88,373","35,846","3,371",40.56%,3.81%,"38,551","3,488",43.62%,3.95%,"13,976","2,753",15.81%,3.12%
"Muskingum County, Ohio","85,439","30,010","3,371",35.12%,3.95%,"37,849","3,369",44.30%,3.94%,"17,580","2,668",20.58%,3.12%
"LaSalle County, Illinois","106,573","41,166","3,365",38.63%,3.16%,"44,003","3,398",41.29%,3.19%,"21,404","2,741",20.08%,2.57%
"Wood County, West Virginia","82,559","30,111","3,358",36.47%,4.07%,"33,473","3,418",40.54%,4.14%,"18,975","2,697",22.98%,3.27%
"Lafourche Parish, Louisiana","93,160","28,898","3,338",31.02%,3.58%,"41,056","3,555",44.07%,3.82%,"23,206","2,961",24.91%,3.18%
"Burke County, North Carolina","86,875","27,502","3,334",31.66%,3.84%,"38,296","3,485",44.08%,4.01%,"21,077","2,882",24.26%,3.32%
"Tooele County, Utah","81,781","34,629","3,325",42.34%,4.07%,"38,286","3,364",46.82%,4.11%,"8,866","2,280",10.84%,2.79%
"Cullman County, Alabama","91,723","30,295","3,303",33.03%,3.60%,"38,076","3,454",41.51%,3.77%,"23,352","2,948",25.46%,3.21%
"Adams County, Pennsylvania","102,820","39,733","3,301",38.64%,3.21%,"42,727","3,358",41.56%,3.27%,"20,360","2,754",19.80%,2.68%
"St. Croix County, Wisconsin","96,702","48,061","3,290",49.70%,3.40%,"35,892","3,276",37.12%,3.39%,"12,749","2,524",13.18%,2.61%
"Robeson County, North Carolina","114,706","25,916","3,288",22.59%,2.87%,"48,943","3,749",42.67%,3.27%,"39,847","3,440",34.74%,3.00%
"Walworth County, Wisconsin","103,711","41,760","3,287",40.27%,3.17%,"43,755","3,340",42.19%,3.22%,"18,196","2,705",17.54%,2.61%
"Boone County, Indiana","75,934","34,562","3,282",45.52%,4.32%,"31,296","3,231",41.21%,4.26%,"10,076","2,420",13.27%,3.19%
"Josephine County, Oregon","87,568","21,901","3,262",25.01%,3.73%,"44,566","3,583",50.89%,4.09%,"21,101","2,970",24.10%,3.39%
"Elmore County, Alabama","85,513","32,756","3,253",38.31%,3.80%,"33,996","3,417",39.76%,4.00%,"18,761","2,945",21.94%,3.44%
"Chemung County, New York","79,213","31,232","3,253",39.43%,4.11%,"31,508","3,263",39.78%,4.12%,"16,473","2,627",20.80%,3.32%
"Walton County, Florida","84,706","26,833","3,245",31.68%,3.83%,"39,037","3,421",46.09%,4.04%,"18,836","2,854",22.24%,3.37%
"Leavenworth County, Kansas","78,895","31,427","3,234",39.83%,4.10%,"34,934","3,224",44.28%,4.09%,"12,534","2,407",15.89%,3.05%
"Spalding County, Georgia","69,516","21,838","3,231",31.41%,4.65%,"34,070","3,392",49.01%,4.88%,"13,608","2,763",19.58%,3.97%
"Hamblen County, Tennessee","66,215","22,672","3,230",34.24%,4.88%,"27,362","3,359",41.32%,5.07%,"16,181","2,827",24.44%,4.27%
"Grand Forks County, North Dakota","69,681","32,042","3,228",45.98%,4.63%,"25,791","3,201",37.01%,4.59%,"11,848","2,434",17.00%,3.49%
"Troup County, Georgia","70,189","23,252","3,213",33.13%,4.58%,"29,913","3,364",42.62%,4.79%,"17,024","2,758",24.25%,3.93%
"Wayne County, New York","90,736","35,568","3,210",39.20%,3.54%,"36,755","3,230",40.51%,3.56%,"18,413","2,608",20.29%,2.87%
"Lincoln County, South Dakota","73,238","38,083","3,194",52.00%,4.36%,"26,501","3,143",36.18%,4.29%,"8,654","2,257",11.82%,3.08%
"Raleigh County, West Virginia","69,575","22,792","3,187",32.76%,4.58%,"29,801","3,288",42.83%,4.73%,"16,982","2,655",24.41%,3.82%
"Marshall County, Alabama","100,344","34,294","3,178",34.18%,3.17%,"40,680","3,373",40.54%,3.36%,"25,370","2,898",25.28%,2.89%
"Rogers County, Oklahoma","99,431","32,206","3,178",32.39%,3.20%,"47,445","3,383",47.72%,3.40%,"19,780","2,773",19.89%,2.79%
"Columbia County, Florida","69,797","18,973","3,167",27.18%,4.54%,"33,217","3,391",47.59%,4.86%,"17,607","2,929",25.23%,4.20%
"Lee County, North Carolina","66,630","20,154","3,163",30.25%,4.75%,"29,506","3,345",44.28%,5.02%,"16,970","2,749",25.47%,4.13%
"Hancock County, Ohio","73,528","32,972","3,151",44.84%,4.29%,"28,793","3,124",39.16%,4.25%,"11,763","2,430",16.00%,3.30%
"Cole County, Missouri","73,727","29,222","3,142",39.64%,4.26%,"32,549","3,139",44.15%,4.26%,"11,956","2,405",16.22%,3.26%
"Lawrence County, Pennsylvania","83,525","32,195","3,132",38.55%,3.75%,"33,645","3,158",40.28%,3.78%,"17,685","2,588",21.17%,3.10%
"Lenawee County, Michigan","94,471","34,307","3,124",36.31%,3.31%,"41,935","3,179",44.39%,3.37%,"18,229","2,601",19.30%,2.75%
"Oconee County, South Carolina","81,009","24,353","3,123",30.06%,3.86%,"36,547","3,350",45.11%,4.14%,"20,109","2,879",24.82%,3.55%
"McCracken County, Kentucky","66,833","22,497","3,119",33.66%,4.67%,"29,820","3,230",44.62%,4.83%,"14,516","2,711",21.72%,4.06%
"Chatham County, North Carolina","81,534","27,635","3,119",33.89%,3.83%,"36,244","3,350",44.45%,4.11%,"17,655","2,835",21.65%,3.48%
"Lea County, New Mexico","70,140","19,353","3,114",27.59%,4.44%,"33,840","3,331",48.25%,4.75%,"16,947","2,596",24.16%,3.70%
"Rockingham County, Virginia","84,984","28,735","3,114",33.81%,3.66%,"39,216","3,236",46.15%,3.81%,"17,033","2,629",20.04%,3.09%
"Midland County, Michigan","83,889","33,433","3,109",39.85%,3.71%,"33,998","3,105",40.53%,3.70%,"16,458","2,463",19.62%,2.94%
"Lewis and Clark County, Montana","74,190","25,851","3,107",34.84%,4.19%,"34,953","3,220",47.11%,4.34%,"13,386","2,451",18.04%,3.30%
"Payne County, Oklahoma","74,377","23,909","3,100",32.15%,4.17%,"34,843","3,200",46.85%,4.30%,"15,625","2,455",21.01%,3.30%
"Kosciusko County, Indiana","79,446","29,623","3,098",37.29%,3.90%,"33,045","3,132",41.59%,3.94%,"16,778","2,501",21.12%,3.15%
"Effingham County, Georgia","71,286","28,814","3,092",40.42%,4.34%,"29,937","3,204",42.00%,4.49%,"12,535","2,546",17.58%,3.57%
"Lapeer County, Michigan","87,899","33,519","3,091",38.13%,3.52%,"37,768","3,128",42.97%,3.56%,"16,612","2,525",18.90%,2.87%
"Lonoke County, Arkansas","75,752","30,155","3,090",39.81%,4.08%,"32,362","3,248",42.72%,4.29%,"13,235","2,577",17.47%,3.40%
"Franklin County, North Carolina","76,049","28,074","3,081",36.92%,4.05%,"32,373","3,255",42.57%,4.28%,"15,602","2,700",20.52%,3.55%
"Wagoner County, Oklahoma","89,189","30,538","3,076",34.24%,3.45%,"41,744","3,265",46.80%,3.66%,"16,907","2,652",18.96%,2.97%
"Lauderdale County, Mississippi","68,832","20,240","3,072",29.40%,4.46%,"28,855","3,321",41.92%,4.82%,"19,737","2,962",28.67%,4.30%
"St. Lawrence County, New York","98,251","34,143","3,066",34.75%,3.12%,"40,962","3,090",41.69%,3.15%,"23,146","2,510",23.56%,2.55%
"York County, Virginia","70,952","32,683","3,066",46.06%,4.32%,"27,994","3,112",39.45%,4.39%,"10,275","2,331",14.48%,3.29%
"Liberty County, Georgia","68,885","21,982","3,062",31.91%,4.45%,"36,052","3,183",52.34%,4.62%,"10,851","2,427",15.75%,3.52%
"Erie County, Ohio","73,906","27,245","3,057",36.86%,4.14%,"30,329","3,107",41.04%,4.20%,"16,332","2,599",22.10%,3.52%
"Valencia County, New Mexico","78,148","19,520","3,054",24.98%,3.91%,"39,934","3,414",51.10%,4.37%,"18,694","2,881",23.92%,3.69%
"Island County, Washington","86,234","22,777","3,053",26.41%,3.54%,"46,114","3,371",53.48%,3.91%,"17,343","2,713",20.11%,3.15%
"Robertson County, Tennessee","76,464","29,684","3,052",38.82%,3.99%,"32,508","3,147",42.51%,4.12%,"14,272","2,579",18.66%,3.37%
"Walker County, Texas","61,574","17,691","3,050",28.73%,4.95%,"28,291","3,292",45.95%,5.35%,"15,592","2,777",25.32%,4.51%
"Houston County, Alabama","108,260","34,190","3,048",31.58%,2.82%,"47,475","3,173",43.85%,2.93%,"26,595","2,666",24.57%,2.46%
"San Benito County, California","68,159","22,003","3,044",32.28%,4.47%,"35,074","3,415",51.46%,5.01%,"11,082","2,731",16.26%,4.01%
"Ward County, North Dakota","67,484","31,593","3,043",46.82%,4.51%,"25,386","3,037",37.62%,4.50%,"10,505","2,307",15.57%,3.42%
"St. Landry Parish, Louisiana","81,156","19,257","3,038",23.73%,3.74%,"37,826","3,376",46.61%,4.16%,"24,073","3,030",29.66%,3.73%
"Northumberland County, Pennsylvania","87,841","33,135","3,015",37.72%,3.43%,"35,238","3,065",40.12%,3.49%,"19,468","2,541",22.16%,2.89%
"Orangeburg County, South Carolina","79,411","21,409","3,015",26.96%,3.80%,"33,014","3,338",41.57%,4.20%,"24,988","2,994",31.47%,3.77%
"Coryell County, Texas","77,539","21,657","3,015",27.93%,3.89%,"40,033","3,184",51.63%,4.11%,"15,849","2,557",20.44%,3.30%
"Mendocino County, California","88,837","20,224","3,005",22.77%,3.38%,"45,697","3,421",51.44%,3.85%,"22,916","2,868",25.80%,3.23%
"Talladega County, Alabama","79,438","24,875","2,994",31.31%,3.77%,"32,172","3,225",40.50%,4.06%,"22,391","2,914",28.19%,3.67%
"Hall County, Nebraska","61,971","23,865","2,994",38.51%,4.83%,"26,822","3,067",43.28%,4.95%,"11,284","2,406",18.21%,3.88%
"Ross County, Ohio","71,963","25,725","2,993",35.75%,4.16%,"30,509","2,990",42.40%,4.15%,"15,729","2,367",21.86%,3.29%
"Lewis County, Washington","85,978","25,321","2,993",29.45%,3.48%,"41,011","3,244",47.70%,3.77%,"19,646","2,555",22.85%,2.97%
"Riley County, Kansas","65,317","27,401","2,988",41.95%,4.57%,"27,833","2,984",42.61%,4.57%,"10,083","2,140",15.44%,3.28%
"Christian County, Kentucky","71,508","23,455","2,982",32.80%,4.17%,"33,555","3,069",46.92%,4.29%,"14,498","2,484",20.27%,3.47%
"Fauquier County, Virginia","75,131","34,701","2,965",46.19%,3.95%,"28,812","3,044",38.35%,4.05%,"11,618","2,364",15.46%,3.15%
"Bedford County, Virginia","81,441","30,160","2,962",37.03%,3.64%,"35,458","3,097",43.54%,3.80%,"15,823","2,566",19.43%,3.15%
"Walker County, Georgia","68,649","23,853","2,955",34.75%,4.30%,"30,494","3,016",44.42%,4.39%,"14,302","2,362",20.83%,3.44%
"Iberia Parish, Louisiana","67,283","20,051","2,955",29.80%,4.39%,"27,832","3,186",41.37%,4.74%,"19,400","2,749",28.83%,4.09%
"White County, Arkansas","76,578","21,889","2,938",28.58%,3.84%,"37,322","3,178",48.74%,4.15%,"17,367","2,661",22.68%,3.47%
"Monroe County, Florida","80,259","21,962","2,936",27.36%,3.66%,"40,221","3,162",50.11%,3.94%,"18,076","2,710",22.52%,3.38%
"Augusta County, Virginia","75,854","26,295","2,931",34.67%,3.86%,"32,621","3,087",43.00%,4.07%,"16,938","2,596",22.33%,3.42%
"Greene County, Tennessee","71,046","23,134","2,921",32.56%,4.11%,"29,504","3,083",41.53%,4.34%,"18,408","2,690",25.91%,3.79%
"Sullivan County, New York","77,209","28,084","2,915",36.37%,3.78%,"32,411","2,992",41.98%,3.88%,"16,714","2,455",21.65%,3.18%
"Chaves County, New Mexico","62,214","18,349","2,908",29.49%,4.67%,"28,057","3,109",45.10%,5.00%,"15,808","2,474",25.41%,3.98%
"Putnam County, Florida","75,201","22,166","2,905",29.48%,3.86%,"33,098","3,114",44.01%,4.14%,"19,937","2,657",26.51%,3.53%
"Greenwood County, South Carolina","67,299","22,179","2,904",32.96%,4.32%,"29,503","3,088",43.84%,4.59%,"15,617","2,608",23.21%,3.88%
"Carson City, Nevada","55,692","18,525","2,898",33.26%,5.20%,"26,924","3,021",48.34%,5.42%,"10,243","2,361",18.39%,4.24%
"Chambers County, Texas","53,787","23,351","2,897",43.41%,5.39%,"21,435","2,994",39.85%,5.57%,"9,001","2,298",16.73%,4.27%
"Chelan County, Washington","79,757","24,066","2,893",30.17%,3.63%,"38,331","3,194",48.06%,4.00%,"17,360","2,593",21.77%,3.25%
"Morgan County, Indiana","72,963","31,293","2,892",42.89%,3.96%,"28,299","2,870",38.79%,3.93%,"13,371","2,220",18.33%,3.04%
"Union County, Ohio","67,006","34,439","2,887",51.40%,4.31%,"24,631","2,845",36.76%,4.25%,"7,936","2,078",11.84%,3.10%
"Eddy County, New Mexico","60,038","22,213","2,876",37.00%,4.79%,"24,022","3,031",40.01%,5.05%,"13,803","2,328",22.99%,3.88%
"Scioto County, Ohio","69,794","26,070","2,870",37.35%,4.11%,"28,394","2,893",40.68%,4.15%,"15,330","2,343",21.96%,3.36%
"Klamath County, Oregon","69,351","17,714","2,870",25.54%,4.14%,"35,657","3,072",51.42%,4.43%,"15,980","2,378",23.04%,3.43%
"Warrick County, Indiana","65,792","28,549","2,849",43.39%,4.33%,"25,562","2,805",38.85%,4.26%,"11,681","2,130",17.75%,3.24%
"Lamar County, Mississippi","66,068","21,376","2,849",32.35%,4.31%,"29,628","2,975",44.84%,4.50%,"15,064","2,492",22.80%,3.77%
"Eagle County, Colorado","54,343","18,298","2,842",33.67%,5.23%,"28,267","3,021",52.02%,5.56%,"7,778","2,309",14.31%,4.25%
"Adams County, Illinois","63,845","25,421","2,826",39.82%,4.43%,"26,015","2,833",40.75%,4.44%,"12,409","2,296",19.44%,3.60%
"Wayne County, Indiana","65,130","22,445","2,823",34.46%,4.33%,"25,602","2,829",39.31%,4.34%,"17,083","2,288",26.23%,3.51%
"Marion County, Ohio","59,783","21,392","2,823",35.78%,4.72%,"24,691","2,840",41.30%,4.75%,"13,700","2,293",22.92%,3.84%
"Lincoln County, Missouri","64,483","25,060","2,821",38.86%,4.37%,"28,238","2,812",43.79%,4.36%,"11,185","2,074",17.35%,3.22%
"Cheshire County, New Hampshire","75,207","30,186","2,819",40.14%,3.75%,"32,684","2,839",43.46%,3.77%,"12,337","2,176",16.40%,2.89%
"Saline County, Kansas","52,238","21,383","2,808",40.93%,5.38%,"21,699","2,830",41.54%,5.42%,"9,156","2,238",17.53%,4.28%
"Clinton County, New York","74,139","28,688","2,808",38.69%,3.79%,"30,351","2,820",40.94%,3.80%,"15,100","2,273",20.37%,3.07%
"Russell County, Alabama","58,552","19,558","2,803",33.40%,4.79%,"24,899","2,948",42.52%,5.03%,"14,095","2,515",24.07%,4.30%
"Grafton County, New Hampshire","86,880","32,379","2,801",37.27%,3.22%,"38,319","2,854",44.11%,3.28%,"16,182","2,188",18.63%,2.52%
"Henderson County, Texas","85,525","20,220","2,800",23.64%,3.27%,"42,117","3,151",49.25%,3.68%,"23,188","2,772",27.11%,3.24%
"Navajo County, Arizona","108,275","21,504","2,793",19.86%,2.58%,"50,216","3,416",46.38%,3.15%,"36,555","3,048",33.76%,2.82%
"Jones County, Mississippi","65,313","19,084","2,791",29.22%,4.27%,"29,002","3,030",44.40%,4.64%,"17,227","2,726",26.38%,4.17%
"Kershaw County, South Carolina","69,870","23,419","2,791",33.52%,3.99%,"30,919","2,984",44.25%,4.27%,"15,532","2,557",22.23%,3.66%
"Autauga County, Alabama","60,183","23,534","2,790",39.10%,4.64%,"24,255","2,851",40.30%,4.74%,"12,394","2,306",20.59%,3.83%
"Steuben County, New York","91,911","33,400","2,784",36.34%,3.03%,"38,116","2,807",41.47%,3.05%,"20,395","2,298",22.19%,2.50%
"Clinton County, Michigan","79,670","36,067","2,778",45.27%,3.49%,"31,557","2,760",39.61%,3.46%,"12,046","2,123",15.12%,2.66%
"Jefferson County, Wisconsin","82,555","35,305","2,771",42.77%,3.36%,"32,843","2,791",39.78%,3.38%,"14,407","2,230",17.45%,2.70%
"Hood County, Texas","67,594","19,347","2,770",28.62%,4.10%,"34,211","3,038",50.61%,4.49%,"14,036","2,617",20.77%,3.87%
"Surry County, North Carolina","71,307","23,139","2,769",32.45%,3.88%,"31,465","2,950",44.13%,4.14%,"16,703","2,507",23.42%,3.52%
"Reno County, Kansas","59,449","22,435","2,751",37.74%,4.63%,"25,182","2,766",42.36%,4.65%,"11,832","2,167",19.90%,3.65%
"Umatilla County, Oregon","76,334","19,685","2,750",25.79%,3.60%,"39,008","3,049",51.10%,3.99%,"17,641","2,458",23.11%,3.22%
"Colbert County, Alabama","58,341","20,556","2,749",35.23%,4.71%,"23,273","2,815",39.89%,4.83%,"14,512","2,320",24.87%,3.98%
"Iron County, Utah","62,941","25,385","2,746",40.33%,4.36%,"28,799","2,800",45.76%,4.45%,"8,757","1,971",13.91%,3.13%
"Gordon County, Georgia","59,533","19,920","2,743",33.46%,4.61%,"27,921","2,836",46.90%,4.76%,"11,692","2,235",19.64%,3.75%
"Tipton County, Tennessee","61,353","21,536","2,743",35.10%,4.47%,"24,243","2,853",39.51%,4.65%,"15,574","2,387",25.38%,3.89%
"Pender County, North Carolina","67,632","23,174","2,742",34.26%,4.05%,"30,991","2,853",45.82%,4.22%,"13,467","2,318",19.91%,3.43%
"Grays Harbor County, Washington","75,359","20,225","2,735",26.84%,3.63%,"36,944","3,020",49.02%,4.01%,"18,190","2,453",24.14%,3.26%
"Belknap County, New Hampshire","64,968","25,050","2,734",38.56%,4.21%,"28,699","2,765",44.17%,4.26%,"11,219","2,119",17.27%,3.26%
"Wilkes County, North Carolina","65,523","19,780","2,732",30.19%,4.17%,"27,313","2,900",41.68%,4.43%,"18,430","2,468",28.13%,3.77%
"Warren County, New York","65,022","25,702","2,727",39.53%,4.19%,"27,057","2,728",41.61%,4.20%,"12,263","2,164",18.86%,3.33%
"San Patricio County, Texas","70,448","16,353","2,727",23.21%,3.87%,"34,197","3,109",48.54%,4.41%,"19,898","2,693",28.24%,3.82%
"Harrison County, Texas","68,778","19,256","2,715",28.00%,3.95%,"32,020","3,051",46.56%,4.44%,"17,502","2,673",25.45%,3.89%
"Salem County, New Jersey","65,241","25,171","2,710",38.58%,4.15%,"27,684","2,723",42.43%,4.17%,"12,386","2,137",18.98%,3.28%
"Harrison County, West Virginia","64,379","22,666","2,701",35.21%,4.20%,"26,745","2,790",41.54%,4.33%,"14,968","2,274",23.25%,3.53%
"Lake County, California","67,684","14,817","2,687",21.89%,3.97%,"35,982","3,040",53.16%,4.49%,"16,885","2,536",24.95%,3.75%
"Laurel County, Kentucky","62,649","19,488","2,686",31.11%,4.29%,"27,808","2,783",44.39%,4.44%,"15,353","2,330",24.51%,3.72%
"Indiana County, Pennsylvania","77,800","28,646","2,686",36.82%,3.45%,"30,074","2,694",38.66%,3.46%,"19,080","2,187",24.52%,2.81%
"Manitowoc County, Wisconsin","81,203","31,528","2,686",38.83%,3.31%,"35,041","2,731",43.15%,3.36%,"14,634","2,248",18.02%,2.77%
"Coffee County, Tennessee","60,471","19,605","2,683",32.42%,4.44%,"28,165","2,790",46.58%,4.61%,"12,701","2,345",21.00%,3.88%
"Blue Earth County, Minnesota","66,289","27,339","2,682",41.24%,4.05%,"26,106","2,665",39.38%,4.02%,"12,844","1,997",19.38%,3.01%
"Vermilion County, Illinois","69,811","23,171","2,680",33.19%,3.84%,"29,412","2,766",42.13%,3.96%,"17,228","2,327",24.68%,3.33%
"Oldham County, Kentucky","66,361","34,412","2,676",51.86%,4.03%,"23,085","2,653",34.79%,4.00%,"8,864","1,964",13.36%,2.96%
"Williamson County, Illinois","65,256","24,575","2,670",37.66%,4.09%,"25,895","2,707",39.68%,4.15%,"14,786","2,204",22.66%,3.38%
"Haywood County, North Carolina","62,844","20,405","2,668",32.47%,4.25%,"27,587","2,843",43.90%,4.52%,"14,852","2,441",23.63%,3.88%
"Pope County, Arkansas","62,447","22,649","2,662",36.27%,4.26%,"27,078","2,820",43.36%,4.52%,"12,720","2,287",20.37%,3.66%
"Otero County, New Mexico","67,084","17,598","2,662",26.23%,3.97%,"33,531","2,916",49.98%,4.35%,"15,955","2,381",23.78%,3.55%
"Walla Walla County, Washington","58,028","17,132","2,660",29.52%,4.58%,"28,282","2,877",48.74%,4.96%,"12,614","2,307",21.74%,3.98%
"Jefferson County, Arkansas","58,518","16,548","2,658",28.28%,4.54%,"23,595","2,955",40.32%,5.05%,"18,375","2,696",31.40%,4.61%
"Mercer County, West Virginia","57,448","17,588","2,655",30.62%,4.62%,"24,978","2,787",43.48%,4.85%,"14,882","2,345",25.91%,4.08%
"Pulaski County, Kentucky","65,745","21,232","2,649",32.29%,4.03%,"28,413","2,778",43.22%,4.23%,"16,100","2,397",24.49%,3.65%
"Rutherford County, North Carolina","65,014","20,079","2,635",30.88%,4.05%,"28,600","2,789",43.99%,4.29%,"16,335","2,366",25.13%,3.64%
"Grant County, Indiana","62,206","21,099","2,633",33.92%,4.23%,"25,960","2,674",41.73%,4.30%,"15,147","2,198",24.35%,3.53%
"St. Francois County, Missouri","62,077","23,531","2,631",37.91%,4.24%,"24,788","2,637",39.93%,4.25%,"13,758","2,052",22.16%,3.31%
"Wood County, Wisconsin","73,899","28,336","2,629",38.34%,3.56%,"31,824","2,643",43.06%,3.58%,"13,739","2,113",18.59%,2.86%
"Darlington County, South Carolina","61,715","17,630","2,625",28.57%,4.25%,"27,229","2,848",44.12%,4.61%,"16,856","2,506",27.31%,4.06%
"Garfield County, Oklahoma","61,607","19,322","2,622",31.36%,4.26%,"28,683","2,761",46.56%,4.48%,"13,602","2,235",22.08%,3.63%
"Charlottesville city, Virginia","42,876","17,324","2,622",40.40%,6.12%,"17,828","2,641",41.58%,6.16%,"7,724","1,988",18.01%,4.64%
"Knox County, Ohio","60,587","22,876","2,615",37.76%,4.32%,"23,351","2,641",38.54%,4.36%,"14,360","2,151",23.70%,3.55%
"Nacogdoches County, Texas","61,537","16,482","2,614",26.78%,4.25%,"28,610","2,902",46.49%,4.72%,"16,445","2,501",26.72%,4.06%
"Allegany County, Maryland","62,203","19,645","2,607",31.58%,4.19%,"25,884","2,706",41.61%,4.35%,"16,674","2,245",26.81%,3.61%
"Putnam County, West Virginia","56,962","22,938","2,607",40.27%,4.58%,"22,582","2,689",39.64%,4.72%,"11,442","2,171",20.09%,3.81%
"Lafayette County, Mississippi","53,290","19,362","2,606",36.33%,4.89%,"23,172","2,735",43.48%,5.13%,"10,756","2,348",20.18%,4.41%
"Crawford County, Arkansas","61,737","20,819","2,605",33.72%,4.22%,"28,238","2,756",45.74%,4.46%,"12,680","2,246",20.54%,3.64%
"Jessamine County, Kentucky","53,956","21,676","2,605",40.17%,4.83%,"23,470","2,662",43.50%,4.93%,"8,810","2,131",16.33%,3.95%
"Camden County, Georgia","58,118","19,475","2,604",33.51%,4.48%,"27,777","2,725",47.79%,4.69%,"10,866","2,172",18.70%,3.74%
"Clallam County, Washington","77,124","21,369","2,600",27.71%,3.37%,"36,113","2,960",46.82%,3.84%,"19,642","2,509",25.47%,3.25%
"Manassas city, Virginia","42,696","14,515","2,599",34.00%,6.09%,"20,175","2,769",47.25%,6.49%,"8,006","2,237",18.75%,5.24%
"St. Bernard Parish, Louisiana","44,302","13,696","2,591",30.92%,5.85%,"20,987","2,707",47.37%,6.11%,"9,619","2,203",21.71%,4.97%
"Wise County, Texas","77,531","21,116","2,590",27.24%,3.34%,"40,698","2,857",52.49%,3.68%,"15,717","2,409",20.27%,3.11%
